fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
margin,top70,3,5,23,0.178524,75.59,4.776879,30.158632,1408.394347,554.980574
margin,top70,3,5,24,0.152215,75.76,4.748362,30.002514,1409.432219,553.514079
margin,top70,7,10,1,9.993807,46.78,4.704332,32.765287,1261.684594,617.219775
margin,top70,7,10,2,8.311213,51.61,4.616327,31.140099,1307.306155,585.527876
margin,top70,7,10,3,7.662219,56.35,4.561465,31.365944,1320.360428,582.693456
margin,top70,7,10,4,7.030963,55.76,4.566283,30.997956,1331.872110,578.227269
margin,top70,7,10,5,5.950949,61.19,4.540636,30.814005,1342.110360,575.872035
margin,top70,7,10,6,5.027586,63.58,4.557858,30.532371,1347.710527,574.040533
margin,top70,7,10,7,4.494353,65.38,4.510826,30.351038,1356.938592,573.250993
margin,top70,7,10,8,3.900684,69.46,4.481127,29.995900,1364.875371,569.568247
margin,top70,7,10,9,3.459339,70.50,4.447165,29.805885,1368.838882,567.038147
margin,top70,7,10,10,3.025705,72.61,4.454681,29.935293,1380.322663,566.111010
margin,top70,7,10,11,2.725765,72.78,4.490731,30.019706,1385.999768,564.486259
margin,top70,7,10,12,2.088676,75.25,4.485874,29.992311,1393.016354,565.204410
margin,top70,7,10,13,1.949225,76.51,4.520036,30.140696,1395.109526,563.932497
margin,top70,7,10,14,1.472041,76.33,4.489440,30.180755,1400.567088,562.414094
margin,top70,7,10,15,1.223674,76.35,4.517616,30.095850,1406.828880,561.002927
margin,top70,7,10,16,1.000071,77.46,4.519494,29.958443,1411.915392,558.209014
margin,top70,7,10,17,0.864270,77.30,4.488658,29.635908,1415.950823,557.878380
margin,top70,7,10,18,0.670927,76.99,4.518264,29.390899,1418.710634,556.540996
margin,top70,7,10,19,0.545150,77.38,4.572213,29.495394,1419.191952,555.986810
margin,top70,7,10,20,0.513287,77.36,4.560659,29.439934,1423.365198,555.448255
margin,top70,7,10,21,0.423387,77.27,4.520716,29.617819,1425.969886,554.478405
margin,top70,7,10,22,0.255044,77.56,4.527199,29.572017,1426.036556,552.863617
margin,top70,7,10,23,0.259503,77.29,4.545984,29.709846,1425.807170,555.005158
margin,top70,7,10,24,0.242774,77.55,4.535789,29.574450,1425.485411,553.959087
margin,top70,7,10,25,0.183914,77.62,4.573775,29.476390,1426.184389,552.891086
margin,top70,7,10,26,0.187013,77.80,4.562057,29.541340,1426.607688,552.324297
margin,top70,7,10,27,0.157491,77.73,4.587336,29.472438,1426.641359,552.058488
margin,top70,7,10,28,0.172057,77.87,4.597173,29.384752,1426.626427,551.925877
